r_nn,spline,linear
1.356140350877193,-181.27150745679438,-181.2695557263618
1.3593984962406014,-181.2704270344154,-181.26852426523553
1.36265664160401,-181.26933030962005,-181.26749280410925
1.3659147869674184,-181.2682175156458,-181.26646134298298
1.369172932330827,-181.2670888857302,-181.2654298818567
1.3724310776942357,-181.2659446531109,-181.26439842073043
1.375689223057644,-181.2647850510254,-181.26336695960416
1.3789473684210525,-181.2636103127113,-181.26233549847788
1.382205513784461,-181.26242067140612,-181.2613040373516
1.3854636591478697,-181.26121636034748,-181.26027257622533
1.3887218045112781,-181.25999761277293,-181.25924111509906
1.3919799498746865,-181.25876466192003,-181.25820965397278
1.3952380952380952,-181.25751774102633,-181.2571781928465
1.3984962406015038,-181.25625708332942,-181.25614673172024
1.4017543859649122,-181.25498291981884,-181.25488657744097
1.4050125313283206,-181.25369543804425,-181.25343040045917
1.4082706766917292,-181.25239478626412,-181.25197422347733
1.4115288220551379,-181.2510811113213,-181.2505180464955
1.4147869674185463,-181.24975456005853,-181.2490618695137
1.4180451127819547,-181.24841527931866,-181.24760569253186
1.4213032581453633,-181.2470634159445,-181.24614951555003
1.424561403508772,-181.24569911677887,-181.2446933385682
1.4278195488721805,-181.24432252866453,-181.2432371615864
1.431077694235589,-181.24293379844434,-181.24178098460456
1.4343358395989974,-181.2415330729611,-181.24032480762273
1.437593984962406,-181.24012049905755,-181.23886863064092
1.4408521303258146,-181.23869622357662,-181.2374124536591
1.444110275689223,-181.23726039336103,-181.23595627667726
1.4473684210526314,-181.23581315525362,-181.23450009969542
1.45062656641604,-181.23435465609722,-181.23304392271362
1.4538847117794487,-181.23288504273458,-181.2315877457318
1.457142857142857,-181.23140446200856,-181.23013156874995
1.4604010025062655,-181.22991306076193,-181.22867539176815
1.463659147869674,-181.22841098583754,-181.22721921478632
1.4669172932330827,-181.2268983840782,-181.22576303780448
1.4701754385964911,-181.22537540232665,-181.22430686082265
1.4734335839598995,-181.2238421874258,-181.22285068384085
1.4766917293233082,-181.22229888621837,-181.221394506859
1.4799498746867168,-181.22074564554723,-181.21993832987718
1.4832080200501252,-181.21918261225514,-181.21848215289538
1.4864661654135336,-181.21760993318497,-181.21702597591354
1.4897243107769422,-181.21602775517945,-181.2155697989317
1.4929824561403509,-181.21443622508144,-181.21411362194988
1.4962406015037595,-181.21283548973378,-181.21265744496807
1.4994987468671679,-181.21122569597918,-181.21120126798624
1.5027568922305763,-181.20960702456014,-181.2095588427386
1.506015037593985,-181.20797987270768,-181.20788255416988
1.5092731829573935,-181.20634472279653,-181.2062062656012
1.512531328320802,-181.20470205740534,-181.20452997703248
1.5157894736842104,-181.20305235911258,-181.20285368846376
1.519047619047619,-181.2013961104968,-181.20117739989507
1.5223057644110276,-181.1997337941366,-181.19950111132636
1.525563909774436,-181.1980658926104,-181.19782482275767
1.5288220551378444,-181.1963928884969,-181.19614853418895
1.532080200501253,-181.1947152643745,-181.19447224562026
1.5353383458646617,-181.19303350282183,-181.19279595705154
1.53859649122807,-181.1913480864174,-181.19111966848283
1.5418546365914785,-181.18965949773977,-181.18944337991414
1.545112781954887,-181.18796821936746,-181.18776709134542
1.5483709273182957,-181.18627473387906,-181.18609080277673
1.5516290726817041,-181.18457952385302,-181.18441451420802
1.5548872180451125,-181.182883071868,-181.18273822563933
1.5581453634085212,-181.1811858605025,-181.1810619370706
1.5614035087719298,-181.179488372335,-181.17938564850192
1.5646616541353384,-181.17779108994407,-181.1777093599332
1.5679197994987468,-181.17609449590833,-181.1760330713645
1.5711779448621552,-181.1743990728062,-181.1743567827958
1.5744360902255639,-181.17270530321633,-181.17268049422708
1.5776942355889725,-181.1710136697172,-181.1710042056584
1.5809523809523809,-181.1693246548874,-181.16932791708967
1.5842105263157893,-181.16763874130544,-181.16765162852099
1.587468671679198,-181.16595641154984,-181.16597533995227
1.5907268170426065,-181.1642781481992,-181.16429905138355
1.593984962406015,-181.16260443383206,-181.16262276281486
1.5972431077694234,-181.1609357510269,-181.16094647424615
1.600501253132832,-181.1592725827013,-181.15931164455625
1.6037593984962406,-181.15761555344608,-181.15790483869975
1.607017543859649,-181.15596564807402,-181.15649803284325
1.6102756892230574,-181.1543239078043,-181.15509122698677
1.613533834586466,-181.1526913738563,-181.15368442113027
1.6167919799498747,-181.15106908744923,-181.15227761527376
1.620050125313283,-181.14945808980244,-181.15087080941728
