r_nn,r_no,spline
0.91356783919598,1.3419597989949745,-180.92943435822374
0.91356783919598,1.3457286432160802,-180.92893207250395
0.91356783919598,1.3494974874371857,-180.92842740180208
0.91356783919598,1.3532663316582911,-180.92792096410236
0.91356783919598,1.3570351758793966,-180.9274133773889
0.91356783919598,1.3608040201005023,-180.9269052596458
0.91356783919598,1.3645728643216077,-180.92639722885744
0.91356783919598,1.3683417085427132,-180.925889903008
0.91356783919598,1.3721105527638189,-180.9253839000815
0.91356783919598,1.3758793969849243,-180.9248798380623
0.91356783919598,1.3796482412060298,-180.9243783349344
0.91356783919598,1.3834170854271353,-180.92388000868215
0.91356783919598,1.387185929648241,-180.92338547728974
0.91356783919598,1.3909547738693464,-180.92289535874121
0.91356783919598,1.3947236180904519,-180.92241027102085
0.91356783919598,1.3984924623115575,-180.9219308321128
0.91356783919598,1.402261306532663,-180.92145763700435
0.91356783919598,1.4060301507537685,-180.9209909365808
0.91356783919598,1.409798994974874,-180.9205307168369
0.91356783919598,1.4135678391959796,-180.92007695695364
0.91356783919598,1.417336683417085,-180.91962963611198
0.91356783919598,1.4211055276381908,-180.91918873349277
0.91356783919598,1.4248743718592962,-180.91875422827698
0.91356783919598,1.4286432160804017,-180.91832609964553
0.91356783919598,1.4324120603015071,-180.91790432677945
0.91356783919598,1.4361809045226126,-180.91748888885948
0.91356783919598,1.4399497487437183,-180.9170797650668
0.91356783919598,1.4437185929648237,-180.91667693458217
0.91356783919598,1.4474874371859294,-180.91628037658654
0.91356783919598,1.4512562814070349,-180.91589007026096
0.91356783919598,1.4550251256281403,-180.91550599478623
0.91356783919598,1.4587939698492458,-180.91512812934334
0.91356783919598,1.4625628140703513,-180.91475645311314
0.91356783919598,1.466331658291457,-180.91439094527686
0.91356783919598,1.4701005025125624,-180.91403158501504
0.91356783919598,1.473869346733668,-180.91367835150893
0.91356783919598,1.4776381909547736,-180.91333122393928
0.91356783919598,1.481407035175879,-180.912990181487
0.91356783919598,1.4851758793969845,-180.9126552033333
0.91356783919598,1.48894472361809,-180.91232626865872
0.91356783919598,1.4927135678391956,-180.91200335664436
0.91356783919598,1.496482412060301,-180.91168644647138
0.91356783919598,1.5002512562814068,-180.91137551732035
0.91356783919598,1.5040201005025122,-180.91107054837238
0.91356783919598,1.5077889447236177,-180.91077151880856
0.91356783919598,1.5115577889447231,-180.91047840780956
0.91356783919598,1.5153266331658286,-180.91019119455643
0.91356783919598,1.5190954773869343,-180.90990985823004
0.91356783919598,1.5228643216080398,-180.90963437801148
0.91356783919598,1.5266331658291454,-180.9093647330815
0.91356783919598,1.530402010050251,-180.90910090262116
0.91356783919598,1.5341708542713564,-180.90884286581138
0.91356783919598,1.5379396984924618,-180.90859060183297
0.91356783919598,1.5417085427135673,-180.90834408986703
0.91356783919598,1.545477386934673,-180.9081033090944
0.91356783919598,1.5492462311557786,-180.90786823869612
0.91356783919598,1.553015075376884,-180.90763885785296
0.91356783919598,1.5567839195979896,-180.90741514574597
0.91356783919598,1.560552763819095,-180.9071970815561
0.91356783919598,1.5643216080402005,-180.90698464446413
0.91356783919598,1.568090452261306,-180.90677781365108
0.91356783919598,1.5718592964824116,-180.906576568298
0.91356783919598,1.5756281407035173,-180.90638088758575
0.91356783919598,1.5793969849246228,-180.90619075069517
0.91356783919598,1.5831658291457282,-180.90600613680732
0.91356783919598,1.5869346733668337,-180.90582702510306
0.91356783919598,1.5907035175879392,-180.9056533947634
0.91356783919598,1.5944723618090448,-180.90548522496917
0.91356783919598,1.5982412060301503,-180.90532249490138
0.91356783919598,1.602010050251256,-180.905165183741
