dihedral,polynomial,linear
165.56390977443607,-148.82387795364377,-148.79991089788305
166.01503759398494,-148.82560324469864,-148.7999671731556
166.46616541353382,-148.82685548946108,-148.8000234484282
166.9172932330827,-148.827484963821,-148.80007972370078
167.36842105263156,-148.82732552815236,-148.80013599897336
167.81954887218043,-148.82619547374154,-148.80019227424592
168.2706766917293,-148.82389902385955,-148.8002485495185
168.72180451127818,-148.8202286259784,-148.80030482479108
169.17293233082705,-148.8149681904538,-148.80036110006367
169.62406015037593,-148.80789745177975,-148.80041737533625
170.0751879699248,-148.79879765141925,-148.8004576694186
170.52631578947367,-148.7874587664241,-148.8004180575498
170.97744360902254,-148.77368853572978,-148.80037844568102
171.42857142857142,-148.75732356637465,-148.80033883381222
171.8796992481203,-148.73824283511973,-148.80029922194342
172.33082706766916,-148.7163839373068,-148.80025961007465
172.78195488721803,-148.69176247446475,-148.80021999820585
173.2330827067669,-148.6644950154513,-148.80018038633705
173.68421052631578,-148.63482611306299,-148.80014077446828
174.13533834586465,-148.60315990929365,-148.80010116259947
174.58646616541353,-148.57009691815423,-148.8000615507307
175.0375939849624,-148.53647663539735,-148.8000219388619
175.48872180451127,-148.5034266900664,-148.7999823269931
175.93984962406014,-148.47241932373927,-148.79994271512433
176.39097744360902,-148.44533606017947,-148.79990310325553
176.8421052631579,-148.42454151108194,-148.79986349138673
177.29323308270676,-148.41296735328044,-148.79982387951796
177.74436090225564,-148.41420760947491,-148.79978426764916
178.1954887218045,-148.43262646880873,-148.7997446557804
178.64661654135338,-148.47347999590562,-148.7997050439116
179.09774436090225,-148.5430531978245,-148.7996654320428
179.54887218045113,-148.6488140483033,-148.79962582017401
180.0,-148.79958620830433,-148.79958620830521
