r_nn,r_no,polynomial
0.91356783919598,1.3984924623115575,-180.9205267508619
0.91356783919598,1.402261306532663,-180.91968812230405
0.91356783919598,1.4060301507537685,-180.91885619294155
0.91356783919598,1.409798994974874,-180.91803174308427
0.91356783919598,1.4135678391959796,-180.9172155354263
0.91356783919598,1.417336683417085,-180.91640831504623
0.91356783919598,1.4211055276381908,-180.91561080940693
0.91356783919598,1.4248743718592962,-180.91482372835566
0.91356783919598,1.4286432160804017,-180.91404776412406
0.91356783919598,1.4324120603015071,-180.91328359132814
0.91356783919598,1.4361809045226126,-180.91253186696832
0.91356783919598,1.4399497487437183,-180.91179323042934
0.91356783919598,1.4437185929648237,-180.91106830348028
0.91356783919598,1.4474874371859294,-180.91035769027476
0.91356783919598,1.4512562814070349,-180.9096619773506
0.91356783919598,1.4550251256281403,-180.9089817336299
0.91356783919598,1.4587939698492458,-180.90831751041947
0.91356783919598,1.4625628140703513,-180.90766984141018
0.91356783919598,1.466331658291457,-180.90703924267748
0.91356783919598,1.4701005025125624,-180.9064262126809
0.91356783919598,1.473869346733668,-180.9058312322648
0.91356783919598,1.4776381909547736,-180.90525476465749
0.91356783919598,1.481407035175879,-180.90469725547183
0.91356783919598,1.4851758793969845,-180.90415913270505
0.91356783919598,1.48894472361809,-180.90364080673876
0.91356783919598,1.4927135678391956,-180.9031426703388
0.91356783919598,1.496482412060301,-180.9026650986556
0.91356783919598,1.5002512562814068,-180.9022084492239
0.91356783919598,1.5040201005025122,-180.90177306196264
0.91356783919598,1.5077889447236177,-180.90135925917534
0.91356783919598,1.5115577889447231,-180.90096734554976
0.91356783919598,1.5153266331658286,-180.90059760815814
0.91356783919598,1.5190954773869343,-180.900250316457
0.91356783919598,1.5228643216080398,-180.89992572228724
0.91356783919598,1.5266331658291454,-180.8996240598742
0.91356783919598,1.530402010050251,-180.89934554582752
0.91356783919598,1.5341708542713564,-180.8990903791412
0.91356783919598,1.5379396984924618,-180.89885874119378
0.91356783919598,1.5417085427135673,-180.89865079574787
0.91356783919598,1.545477386934673,-180.89846668895075
0.91356783919598,1.5492462311557786,-180.89830654933385
0.91356783919598,1.553015075376884,-180.89817048781316
0.91356783919598,1.5567839195979896,-180.89805859768887
0.91356783919598,1.560552763819095,-180.89797095464567
0.91356783919598,1.5643216080402005,-180.89790761675246
0.91356783919598,1.568090452261306,-180.89786862446275
0.91356783919598,1.5718592964824116,-180.89785400061416
0.91356783919598,1.5756281407035173,-180.89786375042894
0.91356783919598,1.5793969849246228,-180.89789786151354
0.91356783919598,1.5831658291457282,-180.89795630385882
