dihedral,spline,linear
166.46616541353382,-148.79986865937343,-148.8000234484282
166.9172932330827,-148.79994764333537,-148.80007972370078
167.36842105263156,-148.80002714160304,-148.80013599897336
167.81954887218043,-148.80010644587773,-148.80019227424592
168.2706766917293,-148.80018484786072,-148.8002485495185
168.72180451127818,-148.80026163925322,-148.80030482479108
169.17293233082705,-148.80033611175654,-148.80036110006367
169.62406015037593,-148.8004075570718,-148.80041737533625
170.0751879699248,-148.80047526690038,-148.8004576694186
170.52631578947367,-148.80053853294342,-148.8004180575498
170.97744360902254,-148.80059664690225,-148.80037844568102
171.42857142857142,-148.8006489004781,-148.80033883381222
171.8796992481203,-148.80069458537213,-148.80029922194342
172.33082706766916,-148.80073299328566,-148.80025961007465
172.78195488721803,-148.80076341591996,-148.80021999820585
173.2330827067669,-148.80078514497626,-148.80018038633705
173.68421052631578,-148.80079747215575,-148.80014077446828
174.13533834586465,-148.8007996891597,-148.80010116259947
174.58646616541353,-148.8007910876894,-148.8000615507307
175.0375939849624,-148.80077095944606,-148.8000219388619
175.48872180451127,-148.8007385961309,-148.7999823269931
175.93984962406014,-148.80069328944523,-148.79994271512433
176.39097744360902,-148.80063433109027,-148.79990310325553
176.8421052631579,-148.80056101276722,-148.79986349138673
177.29323308270676,-148.80047262617737,-148.79982387951796
177.74436090225564,-148.80036846302198,-148.79978426764916
178.1954887218045,-148.80024781500228,-148.7997446557804
178.64661654135338,-148.8001099738195,-148.7997050439116
179.09774436090225,-148.7999542311749,-148.7996654320428
179.54887218045113,-148.79977987876973,-148.79962582017401
180.0,-148.79958620830521,-148.79958620830521
